Id,downvotes,upvotes
"58099278","0","2"
"67424583","0","2"
"71206403","0","1"
"71374317","0","2"
"71450062","1","1"
"64780442","0","2"
"55250925","0","5"
"54093732","0","4"
"73038504","0","3"
"55867124","0","1"
"73250044","0","1"
"73497017","0","2"
"41690947","0","1"
"69243625","0","1"
"43104165","0","1"
"58364511","0","1"
"58860726","0","0"
"59044478","0","1"
"43899824","0","1"
"46128022","1","2"
"62958416","0","2"
"72990218","0","1"
"76831658","0","1"
"76928443","0","1"
"48850364","0","1"
"60492152","0","1"
"41725291","0","0"
"71045205","0","0"
"46182915","0","0"
"63483789","0","0"
"66269132","0","0"
"76136304","0","0"
"75340815","0","0"
"75054764","0","0"
"44597853","0","0"
"76633627","0","0"
"52686702","0","0"
"62908624","0","0"
"73931949","0","0"
"62089282","0","0"
"62653065","0","0"
"75394346","0","0"
"43290661","0","0"
"48524111","0","0"
"73363076","0","0"
"61109271","0","0"
"62795602","0","0"
"76131057","0","0"
"62663750","0","0"
"46539364","0","0"
"48457962","0","0"
"59486848","0","0"
"45680050","0","0"
"73850834","0","0"
"56453052","0","0"
"45176609","0","0"
"53752847","0","1"
"46321465","0","3"
"45310186","0","1"
"64019988","0","1"
"64571161","1","5"
"47493294","0","2"
"65085240","0","1"
"49224624","0","1"
"66487457","0","1"
"66516021","0","1"
"49867314","0","1"
"67425295","0","2"
"67989173","0","4"
"46895678","0","3"
"51539618","1","0"
"58423406","0","2"
"62174436","0","2"
"59783153","0","1"
"53726631","0","1"
"71233505","0","1"
"71354237","0","1"
"71262528","0","1"
"73491493","0","2"
"56643282","0","1"
"54747730","0","1"
"69495094","0","2"
"74770631","0","1"
"75499608","0","1"
"75845421","0","2"
"59422684","0","2"
"60188025","1","1"
"60330316","0","1"
"60203514","0","1"
"61134288","0","1"
"70185910","0","0"
"52140195","0","0"
"75791764","0","0"
"76363928","0","0"
"49549986","0","0"
"50373756","0","0"
"59732938","0","0"
"77162221","0","0"
"42529559","0","0"
"47888449","0","0"
"63006743","0","0"
"72898178","0","0"
"70525807","0","0"
"43856475","0","0"
"64532209","0","0"
"52072144","0","0"
"67370872","0","0"
"45178512","0","0"
"53531260","0","0"
"61212117","0","0"
"68892955","0","0"
"61613451","0","0"
"62603043","0","0"
"75247968","0","0"
"56895712","0","0"
"68374781","0","0"
"71741444","0","0"
"66060788","0","0"
"73040051","0","0"
"68074446","0","0"
"70923934","0","0"
"47975233","0","0"
"67724717","0","0"
"44001203","1","1"
"44587843","0","1"
"43063942","0","1"
"63120867","0","1"
"41909081","0","2"
"48013521","0","1"
"48435533","0","1"
"60764692","0","1"
"66213633","0","1"
"66483976","0","1"
"41540465","0","1"
"58302068","0","1"
"52056020","0","1"
"67827910","0","1"
"52907642","0","0"
"54132579","1","2"
"54468116","0","1"
"54539209","0","1"
"71932357","0","1"
"59901161","0","1"
"70747927","0","1"
"56100696","0","2"
"73571782","0","2"
"56785510","0","1"
"56866515","1","0"
"70863286","0","1"
"59067139","0","2"
"42549898","0","1"
"42760351","0","1"
"74585126","0","2"
"57959669","0","1"
"75288742","0","1"
"61069217","0","1"
"76614723","0","1"
"77019256","0","0"
"65615591","0","0"
"69828776","0","0"
"43687989","0","0"
"50551501","0","0"
"63930365","0","0"
"62119873","0","0"
"45030409","0","0"
"77069750","0","0"
"54992174","0","0"
"67826643","0","0"
"42612825","0","0"
"76382882","0","0"
"76754947","0","0"
"71241781","0","0"
"67618360","0","0"
"59271936","0","0"
"65805701","0","0"
"65276008","0","0"
"67110863","0","0"
"77001369","0","0"
"64117559","0","0"
"62691308","0","0"
"55224489","0","0"
"72204314","0","0"
"65935418","0","0"
"60825245","0","0"
"47418839","0","0"
"54195046","0","3"
"43382825","0","21"
"62144746","1","1"
"44335616","0","18"
"45059555","0","3"
"62201226","0","1"
"45185986","1","8"
"45371264","0","2"
"41822032","0","37"
"57791868","0","11"
"60571002","0","11"
"45985326","0","4"
"45676715","1","39"
"48541989","0","6"
"59238987","0","3"
"54920222","0","1"
"64664702","0","2"
"57713184","0","3"
"44970802","0","3"
"47356782","0","6"
"65392239","0","1"
"65815085","0","2"
"51392973","0","6"
"66255337","0","2"
"49330032","0","9"
"66562150","0","2"
"63996075","0","1"
"50225877","1","1"
"65776399","0","12"
"48003465","0","7"
"68051126","0","2"
"48336095","0","5"
"62978700","0","2"
"51366030","1","2"
"64976079","0","1"
"52484567","1","1"
"44695776","0","1"
"52803734","0","2"
"42741991","0","12"
"54656387","0","12"
"45566126","0","1"
"44625192","0","3"
"70608619","0","7"
"70755404","0","0"
"62094127","0","1"
"46428721","0","9"
"48144955","0","4"
"72034290","0","1"
"71827059","1","0"
"46853433","1","7"
"71520288","0","2"
"48458135","0","6"
"56376223","0","1"
"45229996","1","4"
"66429033","0","3"
"68149948","0","2"
"58025923","1","4"
"56150859","0","2"
"58000650","1","2"
"72936046","0","8"
"53433061","0","2"
"75395489","0","1"
"42947361","2","0"
"58443786","0","2"
"76576543","0","1"
"70891687","0","7"
"76726838","3","1"
"59987678","0","0"
"76954666","0","1"
"60376843","0","0"
"60913189","0","4"
"73851416","0","2"
"45618193","0","0"
"69480904","0","0"
"55393447","0","0"
"76689774","0","0"
"44147989","0","0"
"62109622","0","0"
"48369753","0","0"
"74720182","0","0"
"57626144","0","0"
"53050411","0","0"
"61347654","0","0"
"60142134","0","0"
"76990879","0","0"
"63788604","0","0"
"71942077","0","0"
"45935068","0","0"
"47515433","0","0"
"63084314","0","0"
"60170387","0","0"
"66676799","0","0"
"59422062","0","0"
"53482484","0","0"
"56725289","0","0"
"75174342","0","0"
"62805427","0","0"
"65916226","0","0"
"67056058","0","0"
"65365717","0","0"
"67096637","0","0"
"57824194","0","0"
"61468238","0","0"
"71785589","0","0"
"67887412","0","0"
"53689950","0","0"
"48644054","0","0"
"75267996","0","0"
"46176101","0","0"
"63720827","0","0"
"74697959","0","0"
"61267188","0","0"
"46292669","1","6"
"53180953","0","7"
"45547537","0","1"
"52465963","0","8"
"63545021","0","1"
"46642999","0","3"
"46953681","0","2"
"44048187","0","7"
"47073241","0","2"
"47514545","0","4"
"64905490","0","1"
"47105132","0","1"
"47812164","0","5"
"58801035","0","3"
"47914526","0","3"
"65407405","0","3"
"51454523","0","4"
"56815779","0","3"
"41645744","0","5"
"66682690","0","3"
"66659942","0","3"
"52709013","1","2"
"68625390","1","3"
"63692940","0","1"
"52465133","0","1"
"52753600","0","1"
"56361993","0","1"
"70511274","0","1"
"70693505","2","2"
"53776641","1","1"
"53974731","0","6"
"54202957","0","1"
"53976147","1","2"
"69760212","0","1"
"60211647","0","3"
"51873079","0","2"
"55388130","0","2"
"73380206","0","2"
"73400434","1","0"
"56294020","0","1"
"58463321","0","2"
"69036026","0","3"
"72449453","0","1"
"75687270","0","1"
"56276097","0","1"
"57885299","0","1"
"55482705","0","1"
"59721407","1","0"
"59559127","0","1"
"60102057","0","1"
"46923213","0","1"
"46919884","0","2"
"69276445","0","1"
"77380111","0","1"
"48195062","1","1"
"60873647","0","0"
"61459590","0","0"
"63795223","0","0"
"48278961","0","0"
"43428256","0","0"
"69489617","0","0"
"70652547","0","0"
"60145377","0","0"
"45514413","0","0"
"60413378","0","0"
"61666368","0","0"
"47698734","0","0"
"64261663","0","0"
"77365455","0","0"
"74659662","0","0"
"58674574","0","0"
"64679949","0","0"
"66972723","0","0"
"53070767","0","0"
"50873325","0","0"
"77458507","0","0"
